&a / °	I1 / %
2.736	1.1
2.733	1.1
2.731	1.1
2.728	1.1
2.725	1.1
2.723	1.1
2.720	1.1
2.717	1.1
2.715	1.1
2.712	1.1
2.709	1.1
2.707	1.1
2.704	1.1
2.701	1.1
2.699	1.1
2.696	1.1
2.693	1.1
2.691	1.1
2.688	1.1
2.685	1.1
2.683	1.1
2.680	1.1
2.677	1.1
2.675	1.1
2.672	1.1
2.669	1.1
2.667	1.1
2.664	1.1
2.661	1.1
2.659	1.1
2.656	1.1
2.653	1.1
2.651	1.1
2.648	1.1
2.645	1.1
2.643	1.1
2.640	1.1
2.637	1.1
2.635	1.1
2.632	1.1
2.629	1.1
2.627	1.1
2.624	1.0
2.621	1.0
2.619	1.1
2.616	1.1
2.613	1.1
2.610	1.1
2.608	1.1
2.605	1.1
2.602	1.1
2.600	1.1
2.597	1.1
2.594	1.1
2.592	1.1
2.589	1.1
2.586	1.1
2.584	1.1
2.581	1.1
2.578	1.1
2.576	1.1
2.573	1.1
2.570	1.1
2.568	1.1
2.565	1.1
2.562	1.1
2.560	1.1
2.557	1.1
2.554	1.1
2.552	1.1
2.549	1.1
2.546	1.1
2.544	1.1
2.541	1.1
2.538	1.1
2.536	1.1
2.533	1.1
2.530	1.1
2.528	1.1
2.525	1.1
2.522	1.1
2.520	1.1
2.517	1.1
2.514	1.1
2.512	1.1
2.509	1.1
2.506	1.1
2.504	1.1
2.501	1.1
2.498	1.1
2.496	1.1
2.493	1.1
2.490	1.1
2.488	1.1
2.485	1.1
2.482	1.1
2.480	1.1
2.477	1.1
2.474	1.1
2.472	1.1
2.469	1.1
2.466	1.1
2.464	1.1
2.461	1.1
2.458	1.1
2.456	1.1
2.453	1.0
2.450	1.0
2.448	1.1
2.445	1.1
2.442	1.1
2.440	1.1
2.437	1.1
2.434	1.1
2.432	1.1
2.429	1.1
2.426	1.1
2.424	1.1
2.421	1.1
2.418	1.1
2.416	1.1
2.413	1.1
2.410	1.1
2.408	1.1
2.405	1.1
2.402	1.1
2.400	1.1
2.397	1.1
2.394	1.0
2.392	1.1
2.389	1.1
2.386	1.1
2.384	1.1
2.381	1.1
2.378	1.1
2.376	1.1
2.373	1.1
2.370	1.1
2.368	1.1
2.365	1.1
2.362	1.1
2.360	1.1
2.357	1.0
2.354	1.0
2.352	1.1
2.349	1.1
2.346	1.1
2.344	1.1
2.341	1.1
2.338	1.1
2.336	1.1
2.333	1.1
2.330	1.1
2.328	1.1
2.325	1.1
2.322	1.1
2.320	1.1
2.317	1.1
2.314	1.1
2.312	1.1
2.309	1.1
2.306	1.1
2.304	1.1
2.301	1.1
2.298	1.1
2.296	1.1
2.293	1.1
2.290	1.1
2.288	1.1
2.285	1.1
2.282	1.1
2.280	1.1
2.277	1.1
2.274	1.1
2.272	1.1
2.269	1.1
2.266	1.1
2.264	1.1
2.261	1.1
2.258	1.1
2.256	1.1
2.253	1.1
2.250	1.1
2.248	1.1
2.245	1.1
2.242	1.1
2.240	1.1
2.237	1.1
2.234	1.1
2.231	1.1
2.229	1.1
2.226	1.1
2.223	1.0
2.221	1.0
2.218	1.1
2.215	1.1
2.213	1.0
2.210	1.0
2.207	1.0
2.205	1.0
2.202	1.0
2.199	1.1
2.197	1.1
2.194	1.1
2.191	1.1
